Index_agg,Country or area,Country Code,ISO3 Alpha Code,ISO2 Alpha Code,City Code,Urban Agglomeration,Location type,Data,Sources,Statistical Concept,Note,Urban Population,Cluster
1319,Nigeria,566,NGA,NG,23540,Minna,Non-Capital,Urban agglomerations and capital cities,Censuses of 1963 and 1991; Estimate for 2010; UN Estimate for 1983.,Urban Agglomeration,"Data for 1963 refers to city proper. Data for 1983, 1991 and 2010 refer to urban agglomeration.",Urban Population,1
1325,Nigeria,566,NGA,NG,22013,Onitsha,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1953, 1963, 1991 and 2006.",Urban Agglomeration,"Data for 1953, 1963 and 1991 refer to city proper. Data for 2006 refers to urban agglomeration.",Urban Population,1
1326,Nigeria,566,NGA,NG,22014,Oshogbo,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1953, 1963 and 1991; Estimate for 2010.",Urban Agglomeration,Data for 1953 and 1963 refer to city proper. Data for 1991 and 2010 refer to urban agglomeration.,Urban Population,1
1329,Nigeria,566,NGA,NG,22018,Port Harcourt,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1953, 1963, 1991 and 2006; UN Estimate for 1983.",Urban Agglomeration,"Data for 1953 and 1963 refer to city proper. Data for 1983, 1991 and 2006 refer to urban agglomeration.",Urban Population,1
1335,Nigeria,566,NGA,NG,22023,Warri,Non-Capital,Urban agglomerations and capital cities,"Census of 1953; Estimates for 1970, 1980, 1990, 2000 and 2010.",Urban Agglomeration,"Data for 1953 and 1970 refer to city proper. Data for 1980, 1990, 2000 and 2010 refer to urban agglomeration.",Urban Population,1
1336,Nigeria,566,NGA,NG,22024,Zaria,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1953, 1963, 1991 and 2006; UN Estimate for 1983.",Urban Agglomeration,"Data for 1953 and 1963 refer to city proper. Data for 1983, 1991 and 2006 refer to urban agglomeration.",Urban Population,1
1338,Northern Mariana Islands,580,MNP,MP,22031,Saipan,Capital,Urban agglomerations and capital cities,"Censuses of 1980, 1990, 1995, 2000 and 2010; UN Estimates for 1950, 1958, 1967 and 1973.",Urban Agglomeration,"Refers to the island of Saipan. The capital is Garapan, located on that island. The population of Garapan was estimated at 3,983 in the year 2010.",Urban Population,1
1340,Oman,512,OMN,OM,21922,Masqat (Muscat),Capital,Urban agglomerations and capital cities,"Censuses of 1993, 2003 and 2010; Estimates for 1950, 1960 and 2016; UN Estimate for 2017.",Urban Agglomeration,"Refers to Muscat governorate, which consists of the Wilayas of Muscat, Mutrah, Bawshar, As Seeb, and Al Amrat (excluding Wilaya of Qurayyat).  For the year 2016, refers to the sum of Muscat, Mutrah, Bawshar and As Seeb.",Urban Population,1
1368,Panama,591,PAN,PA,22063,Ciudad de Panamá (Panama City),Capital,Urban agglomerations and capital cities,"Censuses of 1950, 1960, 1970, 1980, 1990, 2000 and 2010.",Urban Agglomeration,"Refers to the metropolitan area of Panama City, made up of the population of urban localities in the districts of Panamá, Arraijan, La Chorrera and San Miguelito. Data for 1980 includes the urban population in the district of Balboa.",Urban Population,1
1370,Paraguay,600,PRY,PY,22065,Asunción,Capital,Urban agglomerations and capital cities,"Censuses of 1950, 1962, 1972, 1982, 1992 and 2002; Estimates for 2008 and 2014.",Metropolitan area,Refers to the district of Asunción and the 19 districts of Central Department.,Urban Population,1
